"fb_t_id" "fb_g_id" "gene" "half_life" "rank" "quantile" "dmso_polii" "dmso_tbp" "dmso_tfiib" "dmso_tfiif" "dmso_nelfe" "pro_cap" "DPE" "DRE" "Inr" "MTE" "PB" "TATA" "Motif1" "Motif6" "Motif7" "TCT"
"11" "FBtr0070156" "FBgn0002579" "RpL36" "6.27" 77 "q1" 7.15377907940943 5.8820265372973 8.05861652103505 7.58522208976754 6.36034332209189 "T" "F" "T" "F" "F" "F" "F" "F" "F" "F" "T"
"43" "FBtr0070841" "FBgn0261383" "IntS6" "6.28" 78 "q1" 8.12804192050107 6.60789108603653 5.90161976468362 5.71978552200722 8.05339020385065 "T" "F" "F" "T" "F" "F" "F" "F" "F" "F" "F"
"1368" "FBtr0089340" "FBgn0014018" "Rel" "6.31" 79 "q1" 7.00114296739761 6.28275983787054 6.36070071454917 6.36223668769255 6.402056905786 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"716" "FBtr0080390" "FBgn0043841" "vir-1" "6.32" 80 "q1" 5.54919040712574 6.35595494658468 5.4730832396319 6.16648475701974 5.58058464322887 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"2026" "FBtr0334524" "FBgn0261113" "Xrp1" "6.35" 81 "q1" 8.35417804988467 7.08192536152925 7.37228132059333 7.85330904754347 7.93848139588015 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"2128" "FBtr0339633" "FBgn0031143" "CG1532" "6.35" 82 "q1" 8.38392300635213 6.85118213069516 7.19820347613388 7.5597056451705 7.42946423526604 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"2140" "FBtr0339908" "FBgn0041094" "scyl" "6.48" 83 "q1" 8.55087731935459 9.20222899833735 7.60657610826647 8.02268117214763 8.29850030281318 "T" "F" "F" "F" "F" "F" "T" "F" "F" "F" "F"
"1441" "FBtr0100289" "FBgn0003231" "ref(2)P" "6.5" 84 "q1" 7.69762448028008 6.60179631487838 6.33047599678909 6.72169508556112 7.35688243720915 "T" "F" "T" "F" "F" "F" "F" "F" "F" "F" "F"
"1808" "FBtr0308826" "FBgn0051431" "CG31431" "6.54" 85 "q1" 6.92301198195975 5.54133569713109 6.16883371816 6.8478264099446 6.11582237884608 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"2209" "FBtr0343606" "FBgn0250843" "Prosalpha6" "6.55" 86 "q1" 6.58610335639731 5.49100878952349 5.23762989508734 4.95596761265627 6.63525045495221 "T" "F" "T" "F" "F" "F" "F" "F" "F" "F" "F"
"2161" "FBtr0340343" "FBgn0004828" "His3.3B" "6.6" 87 "q1" 8.20778096744101 6.6539690647841 6.68001356796566 6.87884589281798 7.80786222778809 "T" "F" "F" "F" "F" "F" "F" "F" "F" "T" "F"
"1550" "FBtr0290323" "FBgn0002931" "net" "6.64" 88 "q1" 5.63730984106465 5.01791406816805 4.4859746564631 4.99526693862214 5.41553800759111 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"691" "FBtr0079872" "FBgn0029174" "FKBP59" "6.64" 89 "q1" 7.01261581317485 5.16946991374022 5.70157935577748 5.02072721251391 6.62197252378122 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"1189" "FBtr0087194" "FBgn0034091" "mrj" "6.64" 90 "q1" 6.89249215804769 5.52756939460575 5.7741439360682 6.1312596108028 6.24385195088993 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"790" "FBtr0081439" "FBgn0266369" "Mtp" "6.66" 91 "q1" 7.56443020458575 5.9902562526293 6.24294086996963 6.46974400212169 7.01144845181656 "T" "F" "F" "T" "F" "F" "F" "F" "F" "F" "F"
"715" "FBtr0080292" "FBgn0010497" "dmGlut" "6.69" 92 "q1" 8.25537570282946 6.92744040999892 6.56158487992815 6.72155810969042 7.03709439180528 "T" "T" "F" "T" "F" "F" "F" "F" "F" "F" "F"
"1024" "FBtr0084982" "FBgn0002733" "E(spl)mbeta-HLH" "6.73" 93 "q1" 8.78943415370588 9.14211014412149 8.12520518597908 8.54026175409387 7.89677575816991 "T" "F" "F" "T" "F" "F" "T" "F" "F" "F" "F"
"1014" "FBtr0084863" "FBgn0051098" "CG31098" "6.73" 94 "q1" 6.00205830238477 5.89419174434034 5.5720771479855 5.65426539458504 5.75573626390927 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"503" "FBtr0077676" "FBgn0031483" "CG9641" "6.82" 95 "q1" 4.38330916332536 4.51257593206362 4.46747809729292 4.70000934261267 4.66181413681715 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"1881" "FBtr0331605" "FBgn0262656" "dm" "6.82" 96 "q1" 8.48364611108678 7.08879248395 6.81629782179289 6.71614164654228 7.77838518955644 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"1004" "FBtr0084688" "FBgn0039218" "Rpb10" "6.83" 97 "q1" 5.39692204662994 3.90571155411087 4.30615677123711 4.75251265220289 5.0919155847391 "T" "F" "T" "F" "F" "F" "F" "F" "F" "F" "F"
"858" "FBtr0082534" "FBgn0017581" "Lk6" "6.86" 98 "q1" 8.77787342006789 7.71975367180167 7.52749694452035 7.69814443286581 8.39740248046402 "T" "F" "F" "T" "F" "F" "F" "F" "T" "F" "F"
"2166" "FBtr0340366" "FBgn0265598" "Bx" "6.86" 99 "q1" 7.04289238632297 5.61225570565964 5.11776301382439 4.93087951862281 6.99765782480079 "T" "T" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"55" "FBtr0071079" "FBgn0029504" "CHES-1-like" "6.9" 100 "q1" 5.78936489855074 6.49056486789563 5.12301859575568 5.42854680598943 5.30020669639151 "T" "F" "F" "T" "F" "F" "F" "F" "F" "F" "F"
"400" "FBtr0075885" "FBgn0011284" "RpS4" "6.92" 101 "q1" 8.4907789994082 7.2127118082179 9.13501250449152 9.0942511179802 7.40096305667017 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "T"
"952" "FBtr0083964" "FBgn0019936" "RpS20" "6.93" 102 "q1" 7.89249461049033 6.03462566710677 9.565191818025 9.31833959246811 6.16992275685797 "T" "F" "F" "F" "F" "F" "F" "F" "F" "T" "F"
"1988" "FBtr0333520" "FBgn0029856" "CG11700" "6.99" 103 "q1" 6.799290832698 6.90186187261961 5.69435355111403 6.08667644937432 5.95239081384072 "T" "F" "F" "F" "F" "T" "T" "F" "F" "F" "F"
"810" "FBtr0081822" "FBgn0037537" "CG2767" "6.99" 104 "q1" 7.30205054009207 5.78856396042628 6.26497824036895 6.19019613814496 6.46063452969589 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"634" "FBtr0079236" "FBgn0000308" "chic" "7.03" 105 "q1" 8.65748456370408 7.01357803832063 6.47820907891343 6.45295191299244 8.4226595785652 "T" "F" "T" "F" "F" "F" "F" "F" "F" "F" "F"
"1542" "FBtr0290215" "FBgn0037341" "CG12746" "7.04" 106 "q1" 6.09265703850451 5.4260486028136 6.27654466916914 5.43163700334734 5.42068519225005 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"496" "FBtr0077483" "FBgn0031589" "CG3714" "7.06" 107 "q1" 6.24006531592398 5.33325417482298 3.75682088114734 5.20612896182617 5.57224236741721 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"2027" "FBtr0334530" "FBgn0038168" "omd" "7.07" 108 "q1" 8.3669255467906 6.79066006964269 7.15065167024804 7.58337478545351 7.71314547043747 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"766" "FBtr0081191" "FBgn0032726" "CG10621" "7.08" 109 "q1" 5.5691302847182 5.71648571262064 5.37549178357872 5.87174435424521 4.46419484406676 "T" "F" "F" "F" "F" "F" "T" "F" "F" "F" "F"
"823" "FBtr0082072" "FBgn0037716" "CG8273" "7.1" 110 "q1" 6.00576158475208 5.30061166213354 5.2107634463357 5.21518787940266 5.89549949824388 "T" "F" "T" "F" "F" "F" "F" "F" "F" "T" "F"
"1615" "FBtr0301415" "FBgn0028343" "l(1)G0222" "7.1" 111 "q1" 4.68878594169102 5.08965314847356 4.87428812804768 4.90052076041568 4.30301234007296 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"1737" "FBtr0305081" "FBgn0033313" "Cirl" "7.1" 112 "q1" 7.60241987687587 5.6991236301729 6.27637867502647 6.98381164432036 6.91185860096191 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"2205" "FBtr0343423" "FBgn0031952" "cdc14" "7.1" 113 "q1" 7.94835616668678 6.23722194164083 6.39162165501318 6.77386139886023 7.54025162159255 "T" "F" "T" "F" "F" "F" "F" "F" "F" "F" "F"
"2266" "FBtr0345317" "FBgn0029823" "CG3011" "7.11" 114 "q1" 7.67383876723306 6.61525885216667 6.6026106821727 6.28462208373819 7.17557815085191 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"233" "FBtr0073456" "FBgn0030294" "Pa1" "7.11" 115 "q1" 6.58519330738406 4.98349670003331 5.12213441735791 5.34304087363 6.67033673750179 "T" "F" "T" "T" "F" "F" "F" "F" "F" "F" "F"
"413" "FBtr0076032" "FBgn0036213" "RpL10Ab" "7.13" 116 "q1" 7.17265006236437 6.06867282346542 7.03599743902619 7.32814180137442 6.52968018351839 "T" "F" "T" "F" "F" "F" "F" "F" "F" "F" "T"
"1755" "FBtr0305916" "FBgn0036663" "CG9674" "7.13" 117 "q1" 7.28809042767924 7.07226955241256 5.8377408859209 6.39626329473349 6.56172768285249 "T" "F" "F" "T" "F" "F" "F" "F" "F" "F" "F"
"1240" "FBtr0087790" "FBgn0033785" "Sans" "7.14" 118 "q1" 7.50188676925783 6.69797358965612 5.71830475596509 6.02124583566272 7.00052768943445 "T" "F" "F" "T" "F" "F" "F" "F" "F" "F" "F"
"1801" "FBtr0308589" "FBgn0085390" "Dgk" "7.15" 119 "q1" 7.77799254469531 7.38094938877951 6.27936284866141 6.34915560231542 7.10107663701575 "T" "F" "F" "F" "F" "T" "T" "F" "F" "F" "F"
